"i" "j" "cor" "p"
"193" "margin_per" "visits_q1" -0.0849388466142792 -0.0849388466142792
"194" "food_visits_per" "visits_q1" 0.0861357960624165 0.0861357960624165
"195" "food_sales_per" "visits_q1" 0.129156328524161 0.129156328524161
"196" "food_promo_per" "visits_q1" -0.0724167953279033 -0.0724167953279033
"197" "non_food_promo_per" "visits_q1" 0.0283727009143949 0.0283727009143949
"198" "food_colli_per" "visits_q1" 0.121947630080157 0.121947630080157
"199" "food_pieces_per" "visits_q1" 0.113538871037095 0.113538871037095
"200" "recency" "visits_q1" -0.575509300841664 -0.575509300841664
"201" "sales" "visits_q1" 0.437479295767307 0.437479295767307
"202" "visits" "visits_q1" 0.666062068526149 0.666062068526149
"203" "sales_last_12months" "visits_q1" 0.482498730186712 0.482498730186712
"204" "visits_last_12months" "visits_q1" 0.769157614141928 0.769157614141928
"205" "tenure..in.days." "visits_q1" 0.0647083497618601 0.0647083497618601
"206" "Days.since.first.visit" "visits_q1" 0.135602063730922 0.135602063730922
"207" "sales_q1" "visits_q1" 0.650022018677154 0.650022018677154
"208" "sales_q3" "visits_q1" 0.304650935824008 0.304650935824008
"209" "sales_q4" "visits_q1" 0.296046017447578 0.296046017447578
"210" "sales_last_6months" "visits_q1" 0.570354722569858 0.570354722569858
"211" "churn_flag" "visits_q3" -0.226848958278818 -0.226848958278818
"212" "promo_sales_per" "visits_q3" -0.0356341652902898 -0.0356341652902898
"213" "margin_per" "visits_q3" -0.129019902269238 -0.129019902269238
"214" "food_visits_per" "visits_q3" 0.0833594604497573 0.0833594604497573
"215" "food_sales_per" "visits_q3" 0.134334039641887 0.134334039641887
"216" "food_promo_per" "visits_q3" -0.0128286883260055 -0.0128286883260055
"217" "non_food_promo_per" "visits_q3" 0.0410900036426424 0.0410900036426424
"218" "food_colli_per" "visits_q3" 0.114293994010239 0.114293994010239
"219" "food_pieces_per" "visits_q3" 0.100139646542677 0.100139646542677
"220" "recency" "visits_q3" -0.195566048661507 -0.195566048661507
"221" "sales" "visits_q3" 0.501903342151633 0.501903342151633
"222" "visits" "visits_q3" 0.777719911471796 0.777719911471796
"223" "sales_last_12months" "visits_q3" 0.531129785758728 0.531129785758728
"224" "visits_last_12months" "visits_q3" 0.858544577209228 0.858544577209228
"225" "tenure..in.days." "visits_q3" 0.0590583341599354 0.0590583341599354
"226" "Days.since.first.visit" "visits_q3" 0.15838084956027 0.15838084956027
"227" "sales_q1" "visits_q3" 0.305640370060433 0.305640370060433
"228" "sales_q3" "visits_q3" 0.627175652175661 0.627175652175661
"229" "sales_q4" "visits_q3" 0.416881304549838 0.416881304549838
"230" "sales_last_6months" "visits_q3" 0.387917390177563 0.387917390177563
"231" "visits_q1" "visits_q3" 0.508189229783335 0.508189229783335
"232" "churn_flag" "visits_q4" -0.198122769821098 -0.198122769821098
"233" "promo_sales_per" "visits_q4" -0.0250010298561992 -0.0250010298561992
"234" "margin_per" "visits_q4" -0.151333751441335 -0.151333751441335
"235" "food_visits_per" "visits_q4" 0.0874649951188589 0.0874649951188589
"236" "food_sales_per" "visits_q4" 0.129679963497832 0.129679963497832
"237" "food_promo_per" "visits_q4" -0.00764632336865227 -0.00764632336865227
"238" "non_food_promo_per" "visits_q4" 0.0521524308517652 0.0521524308517652
"239" "food_colli_per" "visits_q4" 0.127565155067073 0.127565155067073
"240" "food_pieces_per" "visits_q4" 0.112681113603451 0.112681113603451
"241" "recency" "visits_q4" -0.19049306773309 -0.19049306773309
"242" "sales" "visits_q4" 0.509218626925575 0.509218626925575
"243" "visits" "visits_q4" 0.799785430169856 0.799785430169856
"244" "sales_last_12months" "visits_q4" 0.492284534582457 0.492284534582457
"245" "visits_last_12months" "visits_q4" 0.816674258171387 0.816674258171387
"246" "tenure..in.days." "visits_q4" 0.0555455336899883 0.0555455336899883
"247" "Days.since.first.visit" "visits_q4" 0.168877343374895 0.168877343374895
"248" "sales_q1" "visits_q4" 0.275446727073806 0.275446727073806
"249" "sales_q3" "visits_q4" 0.388319195443016 0.388319195443016
"250" "sales_q4" "visits_q4" 0.657716580420684 0.657716580420684
"251" "sales_last_6months" "visits_q4" 0.335324319743714 0.335324319743714
"252" "visits_q1" "visits_q4" 0.47337472585644 0.47337472585644
"253" "visits_q3" "visits_q4" 0.663456253849452 0.663456253849452
"254" "churn_flag" "visits_last_6months" -0.307687303305948 -0.307687303305948
"255" "promo_sales_per" "visits_last_6months" -0.0802953380588743 -0.0802953380588743
"256" "margin_per" "visits_last_6months" -0.114275812365572 -0.114275812365572
"257" "food_visits_per" "visits_last_6months" 0.0999883773497614 0.0999883773497614
"258" "food_sales_per" "visits_last_6months" 0.155821768332282 0.155821768332282
"259" "food_promo_per" "visits_last_6months" -0.0675107062690513 -0.0675107062690513
"260" "non_food_promo_per" "visits_last_6months" 0.0275105370898053 0.0275105370898053
"261" "food_colli_per" "visits_last_6months" 0.145348309619855 0.145348309619855
"262" "food_pieces_per" "visits_last_6months" 0.132402122511825 0.132402122511825
"263" "recency" "visits_last_6months" -0.455095529312379 -0.455095529312379
"264" "sales" "visits_last_6months" 0.507251792881874 0.507251792881874
"265" "visits" "visits_last_6months" 0.780524624003297 0.780524624003297
"266" "sales_last_12months" "visits_last_6months" 0.558226738740165 0.558226738740165
"267" "visits_last_12months" "visits_last_6months" 0.901325806199767 0.901325806199767
"268" "tenure..in.days." "visits_last_6months" 0.072750618036257 0.072750618036257
"269" "Days.since.first.visit" "visits_last_6months" 0.15599806842326 0.15599806842326
"270" "sales_q1" "visits_last_6months" 0.564305652695641 0.564305652695641
"271" "sales_q3" "visits_last_6months" 0.389785011728707 0.389785011728707
"272" "sales_q4" "visits_last_6months" 0.35839988959432 0.35839988959432
"273" "sales_last_6months" "visits_last_6months" 0.625670028898191 0.625670028898191
"274" "visits_q1" "visits_last_6months" 0.893645730484527 0.893645730484527
"275" "visits_q3" "visits_last_6months" 0.650602107106254 0.650602107106254
"276" "visits_q4" "visits_last_6months" 0.572294748400632 0.572294748400632
"277" "churn_flag" "visit_months" -0.355656833107581 -0.355656833107581
"278" "promo_sales_per" "visit_months" -0.0661337112450188 -0.0661337112450188
"279" "margin_per" "visit_months" -0.145616923973032 -0.145616923973032
"280" "food_visits_per" "visit_months" 0.135617684067519 0.135617684067519
"281" "food_sales_per" "visit_months" 0.174980659433337 0.174980659433337
"282" "food_promo_per" "visit_months" -0.0340803388779689 -0.0340803388779689
"283" "non_food_promo_per" "visit_months" 0.0408645622229454 0.0408645622229454
"284" "food_colli_per" "visit_months" 0.158254859201594 0.158254859201594
"285" "food_pieces_per" "visit_months" 0.140554751052682 0.140554751052682
"286" "recency" "visit_months" -0.451091755394733 -0.451091755394733
"287" "sales" "visit_months" 0.542136824847941 0.542136824847941
"288" "visits" "visit_months" 0.739087708250444 0.739087708250444
"289" "sales_last_12months" "visit_months" 0.570536055557166 0.570536055557166
"290" "visits_last_12months" "visit_months" 0.809878874528417 0.809878874528417
"291" "tenure..in.days." "visit_months" 0.101837785664101 0.101837785664101
"292" "Days.since.first.visit" "visit_months" 0.211046471819796 0.211046471819796
"293" "sales_q1" "visit_months" 0.434946121555285 0.434946121555285
"294" "sales_q3" "visit_months" 0.484693199165635 0.484693199165635
"295" "sales_q4" "visit_months" 0.494574249905046 0.494574249905046
"296" "sales_last_6months" "visit_months" 0.510435384107075 0.510435384107075
"297" "visits_q1" "visit_months" 0.619622396499429 0.619622396499429
"298" "visits_q3" "visit_months" 0.70164014678963 0.70164014678963
"299" "visits_q4" "visit_months" 0.675626024299771 0.675626024299771
"300" "visits_last_6months" "visit_months" 0.727382660869107 0.727382660869107
"301" "churn_flag" "freq_last_6months" 0.237680810889523 0.237680810889523
"302" "promo_sales_per" "freq_last_6months" 0.0543111152989852 0.0543111152989852
"303" "margin_per" "freq_last_6months" 0.0419737937190445 0.0419737937190445
"304" "food_visits_per" "freq_last_6months" -0.0585715019915788 -0.0585715019915788
"305" "food_sales_per" "freq_last_6months" -0.0700120824861624 -0.0700120824861624
"306" "food_promo_per" "freq_last_6months" 0.0596897825512218 0.0596897825512218
"307" "non_food_promo_per" "freq_last_6months" -0.00363448962423511 -0.00363448962423511
"308" "food_colli_per" "freq_last_6months" -0.0778813847585401 -0.0778813847585401
"309" "food_pieces_per" "freq_last_6months" -0.0669565294606232 -0.0669565294606232
"310" "recency" "freq_last_6months" 0.357008095181944 0.357008095181944
"311" "sales" "freq_last_6months" -0.241480360027789 -0.241480360027789
"312" "visits" "freq_last_6months" -0.344992950893791 -0.344992950893791
"313" "sales_last_12months" "freq_last_6months" -0.277959732522903 -0.277959732522903
"314" "visits_last_12months" "freq_last_6months" -0.405949039864503 -0.405949039864503
"315" "tenure..in.days." "freq_last_6months" -0.0563274797252555 -0.0563274797252555
"316" "Days.since.first.visit" "freq_last_6months" -0.0814674846464 -0.0814674846464
"317" "sales_q1" "freq_last_6months" -0.320541624067897 -0.320541624067897
"318" "sales_q3" "freq_last_6months" -0.149596542183567 -0.149596542183567
"319" "sales_q4" "freq_last_6months" -0.130270773881854 -0.130270773881854
"320" "sales_last_6months" "freq_last_6months" -0.362731035491743 -0.362731035491743
"321" "visits_q1" "freq_last_6months" -0.447024130095106 -0.447024130095106
"322" "visits_q3" "freq_last_6months" -0.252298256464925 -0.252298256464925
"323" "visits_q4" "freq_last_6months" -0.199526110940405 -0.199526110940405
"324" "visits_last_6months" "freq_last_6months" -0.503526713228531 -0.503526713228531
"325" "visit_months" "freq_last_6months" -0.452683823484209 -0.452683823484209
"326" "churn_flag" "freq_last_12months" 0.254140857376316 0.254140857376316
"327" "promo_sales_per" "freq_last_12months" 0.0532291259418916 0.0532291259418916
"328" "margin_per" "freq_last_12months" 0.13414152895522 0.13414152895522
"329" "food_visits_per" "freq_last_12months" -0.102022861542675 -0.102022861542675
"330" "food_sales_per" "freq_last_12months" -0.161281580553413 -0.161281580553413
"331" "food_promo_per" "freq_last_12months" 0.0267317257631201 0.0267317257631201
"332" "non_food_promo_per" "freq_last_12months" -0.0392609367228014 -0.0392609367228014
"333" "food_colli_per" "freq_last_12months" -0.154132940817812 -0.154132940817812
"334" "food_pieces_per" "freq_last_12months" -0.139015969066285 -0.139015969066285
"335" "recency" "freq_last_12months" 0.0879023078383439 0.0879023078383439
"336" "sales" "freq_last_12months" -0.41415826455693 -0.41415826455693
"337" "visits" "freq_last_12months" -0.59993398800474 -0.59993398800474
"338" "sales_last_12months" "freq_last_12months" -0.450678683146989 -0.450678683146989
"339" "visits_last_12months" "freq_last_12months" -0.673248850326292 -0.673248850326292
"340" "tenure..in.days." "freq_last_12months" -0.0531788452100963 -0.0531788452100963
"341" "Days.since.first.visit" "freq_last_12months" -0.158247962969222 -0.158247962969222
"342" "sales_q1" "freq_last_12months" -0.308294472521784 -0.308294472521784
"343" "sales_q3" "freq_last_12months" -0.405042852387877 -0.405042852387877
"344" "sales_q4" "freq_last_12months" -0.339045062619329 -0.339045062619329
"345" "sales_last_6months" "freq_last_12months" -0.40695588681626 -0.40695588681626
"346" "visits_q1" "freq_last_12months" -0.480368303096605 -0.480368303096605
"347" "visits_q3" "freq_last_12months" -0.619626906048453 -0.619626906048453
"348" "visits_q4" "freq_last_12months" -0.499359864623992 -0.499359864623992
"349" "visits_last_6months" "freq_last_12months" -0.612378833037114 -0.612378833037114
"350" "visit_months" "freq_last_12months" -0.68873844731989 -0.68873844731989
"351" "freq_last_6months" "freq_last_12months" 0.484022521816927 0.484022521816927
"352" "churn_flag" "freq" 0.275936948652046 0.275936948652046
"353" "promo_sales_per" "freq" 0.0303336617022309 0.0303336617022309
"354" "margin_per" "freq" 0.1732068064607 0.1732068064607
"355" "food_visits_per" "freq" -0.104552018828315 -0.104552018828315
"356" "food_sales_per" "freq" -0.146801582863695 -0.146801582863695
"357" "food_promo_per" "freq" 0.00454464185007533 0.00454464185007533
"358" "non_food_promo_per" "freq" -0.0642115675704346 -0.0642115675704346
"359" "food_colli_per" "freq" -0.153512358732891 -0.153512358732891
"360" "food_pieces_per" "freq" -0.134751586327768 -0.134751586327768
"361" "recency" "freq" 0.173068505618901 0.173068505618901
"362" "sales" "freq" -0.497661840280103 -0.497661840280103
